,win,loss,continue
return_side|BH|dir=1,0.0,0.22727272727272727,0.7727272727272727
return_side|BH|dir=2,0.0410958904109589,0.136986301369863,0.821917808219178
return_side|BH|dir=3,0.02666666666666667,0.25333333333333335,0.72
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=2,1.0,0.0,0.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.22916666666666666,0.7708333333333334
return_side|FH|dir=2,0.07058823529411765,0.21176470588235294,0.7176470588235294
return_side|FH|dir=3,0.01639344262295082,0.19672131147540983,0.7868852459016393
return_side|LOB|dir=2,0.0,0.0,1.0
return_side|OTHER|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.02912621359223301,0.20388349514563106,0.7669902912621359
return_side|SERVE|dir=5,0.03125,0.1875,0.78125
return_side|SERVE|dir=6,0.0,0.18867924528301888,0.8113207547169812
return_side|SLICE|dir=1,0.1111111111111111,0.3333333333333333,0.5555555555555556
return_side|SLICE|dir=2,0.21052631578947367,0.2631578947368421,0.5263157894736842
return_side|SLICE|dir=3,0.10526315789473684,0.21052631578947367,0.6842105263157895
return_side|VOLLEY|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.15384615384615385,0.8461538461538461
serve_side|BH|dir=2,0.0896551724137931,0.19310344827586207,0.7172413793103448
serve_side|BH|dir=3,0.009009009009009009,0.15315315315315314,0.8378378378378378
serve_side|BOS|dir=0,0.10050251256281408,0.0,0.8994974874371859
serve_side|DROP_SHOT|dir=1,0.0,0.3333333333333333,0.6666666666666666
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.04,0.26,0.7
serve_side|FH|dir=2,0.05042016806722689,0.23529411764705882,0.7142857142857143
serve_side|FH|dir=3,0.034482758620689655,0.1896551724137931,0.7758620689655172
serve_side|LOB|dir=2,0.4,0.2,0.4
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.020833333333333332,0.0,0.9791666666666666
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.011904761904761904,0.0,0.9880952380952381
serve_side|SLICE|dir=1,0.07142857142857142,0.14285714285714285,0.7857142857142857
serve_side|SLICE|dir=2,0.11864406779661017,0.3220338983050847,0.559322033898305
serve_side|SLICE|dir=3,0.10526315789473684,0.13157894736842105,0.7631578947368421
serve_side|SMASH|dir=2,0.0,1.0,0.0
