,win,loss,continue
return_side|BH|dir=1,0.15,0.25,0.6
return_side|BH|dir=2,0.1,0.175,0.725
return_side|BH|dir=3,0.0,0.23076923076923078,0.7692307692307693
return_side|DROP_SHOT|dir=2,1.0,0.0,0.0
return_side|DROP_SHOT|dir=3,1.0,0.0,0.0
return_side|FH|dir=1,0.0,0.2127659574468085,0.7872340425531915
return_side|FH|dir=2,0.0975609756097561,0.14634146341463414,0.7560975609756098
return_side|FH|dir=3,0.06,0.24,0.7
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=0,0.0,0.0,1.0
return_side|SERVE|dir=4,0.020618556701030927,0.27835051546391754,0.7010309278350515
return_side|SERVE|dir=5,0.043478260869565216,0.08695652173913043,0.8695652173913043
return_side|SERVE|dir=6,0.05,0.26666666666666666,0.6833333333333333
return_side|SLICE|dir=1,0.16666666666666666,0.3333333333333333,0.5
return_side|SLICE|dir=2,0.25,0.125,0.625
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|SMASH|dir=1,0.0,1.0,0.0
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.11764705882352941,0.8823529411764706
serve_side|BH|dir=2,0.0759493670886076,0.1518987341772152,0.7721518987341772
serve_side|BH|dir=3,0.04,0.2,0.76
serve_side|BOS|dir=0,0.07772020725388601,0.0,0.9222797927461139
serve_side|FH|dir=1,0.0,0.19444444444444445,0.8055555555555556
serve_side|FH|dir=2,0.05357142857142857,0.125,0.8214285714285714
serve_side|FH|dir=3,0.0,0.1956521739130435,0.8043478260869565
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|OTHER|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.029411764705882353,0.0,0.9705882352941176
serve_side|SLICE|dir=1,0.1,0.1,0.8
serve_side|SLICE|dir=2,0.36363636363636365,0.0,0.6363636363636364
serve_side|SLICE|dir=3,0.18181818181818182,0.45454545454545453,0.36363636363636365
serve_side|SMASH|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.0,0.5,0.5
