,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.07142857142857142,0.21428571428571427,0.7142857142857143
return_side|DROP_SHOT|dir=1,0.0,0.5,0.5
return_side|DROP_SHOT|dir=3,1.0,0.0,0.0
return_side|FH|dir=1,0.0,0.0,1.0
return_side|FH|dir=2,0.0,0.15789473684210525,0.8421052631578947
return_side|FH|dir=3,0.07142857142857142,0.2857142857142857,0.6428571428571429
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|SERVE|dir=0,0.0,1.0,0.0
return_side|SERVE|dir=4,0.038461538461538464,0.15384615384615385,0.8076923076923077
return_side|SERVE|dir=5,0.05555555555555555,0.3888888888888889,0.5555555555555556
return_side|SERVE|dir=6,0.0,0.3333333333333333,0.6666666666666666
return_side|SLICE|dir=2,0.0,0.5,0.5
return_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.16666666666666666,0.16666666666666666,0.6666666666666666
serve_side|BH|dir=2,0.13157894736842105,0.18421052631578946,0.6842105263157895
serve_side|BH|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|BOS|dir=0,0.041666666666666664,0.0,0.9583333333333334
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.0,1.0
serve_side|FH|dir=2,0.19230769230769232,0.23076923076923078,0.5769230769230769
serve_side|FH|dir=3,0.0,0.25,0.75
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,1.0,0.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.0,0.5,0.5
