,win,loss,continue
return_side|BH|dir=1,0.0,0.1875,0.8125
return_side|BH|dir=2,0.04878048780487805,0.17073170731707318,0.7804878048780488
return_side|BH|dir=3,0.08823529411764706,0.058823529411764705,0.8529411764705882
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.08695652173913043,0.30434782608695654,0.6086956521739131
return_side|FH|dir=2,0.09090909090909091,0.045454545454545456,0.8636363636363636
return_side|FH|dir=3,0.13636363636363635,0.18181818181818182,0.6818181818181818
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|SERVE|dir=4,0.01818181818181818,0.45454545454545453,0.5272727272727272
return_side|SERVE|dir=5,0.016666666666666666,0.16666666666666666,0.8166666666666667
return_side|SERVE|dir=6,0.0,0.35714285714285715,0.6428571428571429
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.2222222222222222,0.2222222222222222,0.5555555555555556
return_side|SLICE|dir=3,0.6666666666666666,0.0,0.3333333333333333
return_side|SMASH|dir=3,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.07692307692307693,0.3076923076923077,0.6153846153846154
serve_side|BH|dir=2,0.1791044776119403,0.16417910447761194,0.6567164179104478
serve_side|BH|dir=3,0.11764705882352941,0.17647058823529413,0.7058823529411765
serve_side|BOS|dir=0,0.09523809523809523,0.0,0.9047619047619048
serve_side|FH|dir=1,0.043478260869565216,0.13043478260869565,0.8260869565217391
serve_side|FH|dir=2,0.125,0.25,0.625
serve_side|FH|dir=3,0.05263157894736842,0.21052631578947367,0.7368421052631579
serve_side|LOB|dir=2,0.5,0.0,0.5
serve_side|LOB|dir=3,0.5,0.0,0.5
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.2,0.0,0.8
serve_side|SLICE|dir=2,0.2631578947368421,0.10526315789473684,0.631578947368421
serve_side|SLICE|dir=3,0.21428571428571427,0.2857142857142857,0.5
