,win,loss,continue
return_side|BH|dir=0,0.058823529411764705,0.058823529411764705,0.8823529411764706
return_side|BH|dir=1,0.024509803921568627,0.14215686274509803,0.8333333333333334
return_side|BH|dir=2,0.03018867924528302,0.1,0.869811320754717
return_side|BH|dir=3,0.02219626168224299,0.10163551401869159,0.8761682242990654
return_side|DROP_SHOT|dir=1,0.10714285714285714,0.14285714285714285,0.75
return_side|DROP_SHOT|dir=2,0.1111111111111111,0.2222222222222222,0.6666666666666666
return_side|DROP_SHOT|dir=3,0.05555555555555555,0.2777777777777778,0.6666666666666666
return_side|FH|dir=0,0.047619047619047616,0.09523809523809523,0.8571428571428571
return_side|FH|dir=1,0.03768506056527591,0.1440107671601615,0.8183041722745625
return_side|FH|dir=2,0.049586776859504134,0.09917355371900827,0.8512396694214877
return_side|FH|dir=3,0.02386934673366834,0.13190954773869346,0.8442211055276382
return_side|LOB|dir=1,0.16666666666666666,0.0,0.8333333333333334
return_side|LOB|dir=2,0.2857142857142857,0.21428571428571427,0.5
return_side|LOB|dir=3,0.3333333333333333,0.1111111111111111,0.5555555555555556
return_side|OTHER|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.007123775601068566,0.14158504007123776,0.8512911843276937
return_side|SERVE|dir=5,0.014830508474576272,0.1059322033898305,0.8792372881355932
return_side|SERVE|dir=6,0.007202881152460984,0.12605042016806722,0.8667466986794717
return_side|SLICE|dir=1,0.24074074074074073,0.14814814814814814,0.6111111111111112
return_side|SLICE|dir=2,0.17054263565891473,0.07751937984496124,0.751937984496124
return_side|SLICE|dir=3,0.06179775280898876,0.10112359550561797,0.8370786516853933
return_side|SMASH|dir=0,0.0,0.0,1.0
return_side|SMASH|dir=1,0.0,0.25,0.75
return_side|SMASH|dir=2,0.1,0.1,0.8
return_side|SMASH|dir=3,0.0,0.4,0.6
return_side|VOLLEY|dir=0,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=1,0.30357142857142855,0.30357142857142855,0.39285714285714285
return_side|VOLLEY|dir=2,0.24324324324324326,0.16216216216216217,0.5945945945945946
return_side|VOLLEY|dir=3,0.16666666666666666,0.25925925925925924,0.5740740740740741
serve_side|BH|dir=0,0.06329113924050633,0.05063291139240506,0.8860759493670886
serve_side|BH|dir=1,0.056074766355140186,0.1308411214953271,0.8130841121495327
serve_side|BH|dir=2,0.030456852791878174,0.08049311094996374,0.889050036258158
serve_side|BH|dir=3,0.020041465100207326,0.08776779543883897,0.8921907394609537
serve_side|BOS|dir=0,0.07286515001648533,0.0003297065611605671,0.9268051434223541
serve_side|DROP_SHOT|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=1,0.35714285714285715,0.14285714285714285,0.5
serve_side|DROP_SHOT|dir=2,0.18181818181818182,0.09090909090909091,0.7272727272727273
serve_side|DROP_SHOT|dir=3,0.10526315789473684,0.15789473684210525,0.7368421052631579
serve_side|FH|dir=0,0.017543859649122806,0.14035087719298245,0.8421052631578947
serve_side|FH|dir=1,0.03783102143757881,0.11853720050441362,0.8436317780580076
serve_side|FH|dir=2,0.0518444666001994,0.08574277168494517,0.8624127617148555
serve_side|FH|dir=3,0.02653631284916201,0.11452513966480447,0.8589385474860335
serve_side|LOB|dir=1,0.375,0.1875,0.4375
serve_side|LOB|dir=2,0.39344262295081966,0.11475409836065574,0.4918032786885246
serve_side|LOB|dir=3,0.42857142857142855,0.09523809523809523,0.47619047619047616
serve_side|OTHER|dir=0,0.0,0.5,0.5
serve_side|OTHER|dir=1,0.0,0.0,1.0
serve_side|OTHER|dir=2,0.3333333333333333,0.0,0.6666666666666666
serve_side|OTHER|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.019267822736030827,0.0,0.9807321772639692
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.029411764705882353,0.0,0.9705882352941176
serve_side|SLICE|dir=1,0.18691588785046728,0.06542056074766354,0.7476635514018691
serve_side|SLICE|dir=2,0.18548387096774194,0.06048387096774194,0.7540322580645161
serve_side|SLICE|dir=3,0.1122715404699739,0.06527415143603134,0.8224543080939948
serve_side|SMASH|dir=1,0.0,0.0,1.0
serve_side|SMASH|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=0,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.12,0.32,0.56
serve_side|VOLLEY|dir=2,0.2857142857142857,0.14285714285714285,0.5714285714285714
serve_side|VOLLEY|dir=3,0.14285714285714285,0.2857142857142857,0.5714285714285714
