,win,loss,continue
return_side|BH|dir=1,0.0,1.0,0.0
return_side|BH|dir=2,0.14285714285714285,0.0,0.8571428571428571
return_side|BH|dir=3,0.0,0.5,0.5
return_side|FH|dir=1,0.0,0.26666666666666666,0.7333333333333333
return_side|FH|dir=2,0.0,0.25,0.75
return_side|FH|dir=3,0.09090909090909091,0.36363636363636365,0.5454545454545454
return_side|SERVE|dir=4,0.0,0.2,0.8
return_side|SERVE|dir=5,0.0,0.2857142857142857,0.7142857142857143
return_side|SERVE|dir=6,0.0,0.375,0.625
return_side|SLICE|dir=2,0.0,0.5,0.5
return_side|SMASH|dir=2,1.0,0.0,0.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.06666666666666667,0.9333333333333333
serve_side|BH|dir=2,0.041666666666666664,0.041666666666666664,0.9166666666666666
serve_side|BH|dir=3,0.0,0.19230769230769232,0.8076923076923077
serve_side|BOS|dir=0,0.029411764705882353,0.014705882352941176,0.9558823529411765
serve_side|FH|dir=1,0.030303030303030304,0.18181818181818182,0.7878787878787878
serve_side|FH|dir=2,0.043478260869565216,0.13043478260869565,0.8260869565217391
serve_side|FH|dir=3,0.16666666666666666,0.08333333333333333,0.75
serve_side|LOB|dir=1,0.0,1.0,0.0
serve_side|LOB|dir=2,0.5,0.0,0.5
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.16666666666666666,0.8333333333333334
serve_side|SLICE|dir=2,0.3333333333333333,0.16666666666666666,0.5
serve_side|SLICE|dir=3,0.0,1.0,0.0
serve_side|SMASH|dir=2,1.0,0.0,0.0
