,win,loss,continue
return_side|BH|dir=1,0.0,0.5,0.5
return_side|BH|dir=2,0.0,0.25,0.75
return_side|BH|dir=3,0.0,0.16666666666666666,0.8333333333333334
return_side|FH|dir=1,0.0,0.18181818181818182,0.8181818181818182
return_side|FH|dir=2,0.0,0.6666666666666666,0.3333333333333333
return_side|FH|dir=3,0.0,0.38461538461538464,0.6153846153846154
return_side|SERVE|dir=4,0.0,0.23076923076923078,0.7692307692307693
return_side|SERVE|dir=5,0.0,0.3,0.7
return_side|SERVE|dir=6,0.0,0.2,0.8
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SMASH|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.0,0.15,0.85
serve_side|BH|dir=3,0.037037037037037035,0.1111111111111111,0.8518518518518519
serve_side|BOS|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|FH|dir=1,0.2,0.1,0.7
serve_side|FH|dir=2,0.08333333333333333,0.16666666666666666,0.75
serve_side|FH|dir=3,0.0,0.1111111111111111,0.8888888888888888
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.5,0.5,0.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
