,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.1,0.05,0.85
return_side|BH|dir=3,0.06382978723404255,0.1276595744680851,0.8085106382978723
return_side|DROP_SHOT|dir=3,1.0,0.0,0.0
return_side|FH|dir=1,0.01694915254237288,0.13559322033898305,0.847457627118644
return_side|FH|dir=2,0.1111111111111111,0.1111111111111111,0.7777777777777778
return_side|FH|dir=3,0.075,0.1,0.825
return_side|LOB|dir=1,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.2647058823529412,0.7352941176470589
return_side|SERVE|dir=5,0.0,0.09375,0.90625
return_side|SERVE|dir=6,0.023809523809523808,0.21428571428571427,0.7619047619047619
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.5,0.0,0.5
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=1,1.0,0.0,0.0
return_side|VOLLEY|dir=3,0.6666666666666666,0.0,0.3333333333333333
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.07692307692307693,0.11538461538461539,0.8076923076923077
serve_side|BH|dir=3,0.05128205128205128,0.1282051282051282,0.8205128205128205
serve_side|BOS|dir=0,0.11764705882352941,0.0,0.8823529411764706
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,1.0,0.0
serve_side|FH|dir=1,0.0,0.02631578947368421,0.9736842105263158
serve_side|FH|dir=2,0.04,0.04,0.92
serve_side|FH|dir=3,0.0,0.125,0.875
serve_side|LOB|dir=2,0.0,0.5,0.5
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.14285714285714285,0.0,0.8571428571428571
serve_side|SLICE|dir=3,0.16666666666666666,0.0,0.8333333333333334
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
