,win,loss,continue
return_side|BH|dir=2,0.3333333333333333,0.0,0.6666666666666666
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.25,0.75
return_side|FH|dir=2,0.0,0.29411764705882354,0.7058823529411765
return_side|FH|dir=3,0.0,0.19047619047619047,0.8095238095238095
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|SERVE|dir=4,0.047619047619047616,0.2857142857142857,0.6666666666666666
return_side|SERVE|dir=5,0.16666666666666666,0.0,0.8333333333333334
return_side|SERVE|dir=6,0.03571428571428571,0.17857142857142858,0.7857142857142857
return_side|SLICE|dir=1,1.0,0.0,0.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.5,0.0,0.5
return_side|VOLLEY|dir=1,1.0,0.0,0.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.3,0.05,0.65
serve_side|BH|dir=3,0.1,0.3,0.6
serve_side|BOS|dir=0,0.05172413793103448,0.0,0.9482758620689655
serve_side|FH|dir=1,0.0,0.3,0.7
serve_side|FH|dir=2,0.05,0.25,0.7
serve_side|FH|dir=3,0.1111111111111111,0.3333333333333333,0.5555555555555556
serve_side|LOB|dir=2,0.5,0.0,0.5
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,1.0,0.0,0.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
