,win,loss,continue
return_side|BH|dir=1,0.041666666666666664,0.16666666666666666,0.7916666666666666
return_side|BH|dir=2,0.037037037037037035,0.0,0.9629629629629629
return_side|BH|dir=3,0.0,0.10526315789473684,0.8947368421052632
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.5,0.5
return_side|FH|dir=1,0.0,0.2,0.8
return_side|FH|dir=2,0.02857142857142857,0.11428571428571428,0.8571428571428571
return_side|FH|dir=3,0.0,0.1111111111111111,0.8888888888888888
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|SERVE|dir=4,0.0,0.2727272727272727,0.7272727272727273
return_side|SERVE|dir=5,0.0,0.043478260869565216,0.9565217391304348
return_side|SERVE|dir=6,0.0,0.15151515151515152,0.8484848484848485
return_side|SLICE|dir=1,1.0,0.0,0.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,1.0,0.0,0.0
return_side|VOLLEY|dir=3,1.0,0.0,0.0
serve_side|BH|dir=1,0.0,0.13333333333333333,0.8666666666666667
serve_side|BH|dir=2,0.038461538461538464,0.057692307692307696,0.9038461538461539
serve_side|BH|dir=3,0.016666666666666666,0.03333333333333333,0.95
serve_side|BOS|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.034482758620689655,0.10344827586206896,0.8620689655172413
serve_side|FH|dir=2,0.05405405405405406,0.1891891891891892,0.7567567567567568
serve_side|FH|dir=3,0.08333333333333333,0.16666666666666666,0.75
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|LOB|dir=3,0.6666666666666666,0.0,0.3333333333333333
serve_side|OTHER|dir=1,0.0,0.0,1.0
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|OTHER|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,1.0,0.0,0.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.2857142857142857,0.0,0.7142857142857143
