,win,loss,continue
return_side|BH|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|BH|dir=2,0.1,0.23333333333333334,0.6666666666666666
return_side|BH|dir=3,0.09375,0.28125,0.625
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.6666666666666666,0.3333333333333333
return_side|FH|dir=1,0.12,0.44,0.44
return_side|FH|dir=2,0.0625,0.14583333333333334,0.7916666666666666
return_side|FH|dir=3,0.21212121212121213,0.3333333333333333,0.45454545454545453
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.017543859649122806,0.3333333333333333,0.6491228070175439
return_side|SERVE|dir=5,0.019417475728155338,0.24271844660194175,0.7378640776699029
return_side|SERVE|dir=6,0.014705882352941176,0.35294117647058826,0.6323529411764706
return_side|SLICE|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|SLICE|dir=2,0.0,0.26666666666666666,0.7333333333333333
return_side|SLICE|dir=3,0.5,0.25,0.25
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|BH|dir=1,0.25,0.5,0.25
serve_side|BH|dir=2,0.12359550561797752,0.25842696629213485,0.6179775280898876
serve_side|BH|dir=3,0.037037037037037035,0.3333333333333333,0.6296296296296297
serve_side|BOS|dir=0,0.18181818181818182,0.0,0.8181818181818182
serve_side|DROP_SHOT|dir=3,1.0,0.0,0.0
serve_side|FH|dir=1,0.17647058823529413,0.35294117647058826,0.47058823529411764
serve_side|FH|dir=2,0.11538461538461539,0.2692307692307692,0.6153846153846154
serve_side|FH|dir=3,0.3333333333333333,0.2,0.4666666666666667
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.1111111111111111,0.2222222222222222,0.6666666666666666
serve_side|LOB|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.03125,0.0,0.96875
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.5,0.25,0.25
serve_side|SLICE|dir=2,0.14814814814814814,0.14814814814814814,0.7037037037037037
serve_side|SLICE|dir=3,0.16666666666666666,0.0,0.8333333333333334
