,win,loss,continue
return_side|BH|dir=1,0.03900709219858156,0.2375886524822695,0.723404255319149
return_side|BH|dir=2,0.04878048780487805,0.10975609756097561,0.8414634146341463
return_side|BH|dir=3,0.03271028037383177,0.1526479750778816,0.8146417445482866
return_side|DROP_SHOT|dir=1,0.18867924528301888,0.2830188679245283,0.5283018867924528
return_side|DROP_SHOT|dir=2,0.3333333333333333,0.16666666666666666,0.5
return_side|DROP_SHOT|dir=3,0.125,0.35,0.525
return_side|FH|dir=1,0.03919372900335946,0.20044792833146696,0.7603583426651735
return_side|FH|dir=2,0.03992015968063872,0.13373253493013973,0.8263473053892215
return_side|FH|dir=3,0.03440621531631521,0.14428412874583796,0.8213096559378469
return_side|LOB|dir=1,0.75,0.0,0.25
return_side|LOB|dir=2,0.36363636363636365,0.2727272727272727,0.36363636363636365
return_side|LOB|dir=3,0.0,0.15384615384615385,0.8461538461538461
return_side|OTHER|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=0,1.0,0.0,0.0
return_side|SERVE|dir=4,0.014096916299559472,0.18325991189427313,0.8026431718061674
return_side|SERVE|dir=5,0.006493506493506494,0.17045454545454544,0.823051948051948
return_side|SERVE|dir=6,0.005701254275940707,0.19384264538198404,0.8004561003420753
return_side|SLICE|dir=1,0.0967741935483871,0.14516129032258066,0.7580645161290323
return_side|SLICE|dir=2,0.2,0.14193548387096774,0.6580645161290323
return_side|SLICE|dir=3,0.1118421052631579,0.1513157894736842,0.7368421052631579
return_side|SMASH|dir=1,0.0,0.5,0.5
return_side|SMASH|dir=2,0.0,0.375,0.625
return_side|SMASH|dir=3,0.0,0.4,0.6
return_side|VOLLEY|dir=0,1.0,0.0,0.0
return_side|VOLLEY|dir=1,0.07272727272727272,0.36363636363636365,0.5636363636363636
return_side|VOLLEY|dir=2,0.375,0.125,0.5
return_side|VOLLEY|dir=3,0.17777777777777778,0.26666666666666666,0.5555555555555556
serve_side|BH|dir=0,0.0,0.0,1.0
serve_side|BH|dir=1,0.040983606557377046,0.1912568306010929,0.76775956284153
serve_side|BH|dir=2,0.06771344455348381,0.1364082433758587,0.7958783120706575
serve_side|BH|dir=3,0.059267241379310345,0.16163793103448276,0.7790948275862069
serve_side|BOS|dir=0,0.13877182420228779,0.00030102347983142685,0.8609271523178808
serve_side|DROP_SHOT|dir=1,0.38461538461538464,0.23076923076923078,0.38461538461538464
serve_side|DROP_SHOT|dir=2,0.3333333333333333,0.0,0.6666666666666666
serve_side|DROP_SHOT|dir=3,0.1875,0.375,0.4375
serve_side|FH|dir=1,0.0593607305936073,0.1948249619482496,0.745814307458143
serve_side|FH|dir=2,0.07481296758104738,0.15211970074812967,0.773067331670823
serve_side|FH|dir=3,0.0405616224648986,0.1934477379095164,0.765990639625585
serve_side|LOB|dir=1,0.38461538461538464,0.0,0.6153846153846154
serve_side|LOB|dir=2,0.4117647058823529,0.1568627450980392,0.43137254901960786
serve_side|LOB|dir=3,0.4594594594594595,0.05405405405405406,0.4864864864864865
serve_side|OTHER|dir=2,0.5,0.0,0.5
serve_side|OTHER|dir=3,0.0,0.2857142857142857,0.7142857142857143
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.015536723163841809,0.0,0.9844632768361582
serve_side|SERVE|dir=5,0.03571428571428571,0.0,0.9642857142857143
serve_side|SERVE|dir=6,0.01238390092879257,0.0,0.9876160990712074
serve_side|SLICE|dir=1,0.21,0.12,0.67
serve_side|SLICE|dir=2,0.25,0.1340909090909091,0.615909090909091
serve_side|SLICE|dir=3,0.1853146853146853,0.16783216783216784,0.6468531468531469
serve_side|SMASH|dir=1,0.0,0.0,1.0
serve_side|SMASH|dir=2,0.0,1.0,0.0
serve_side|VOLLEY|dir=1,0.1,0.5,0.4
serve_side|VOLLEY|dir=2,0.38461538461538464,0.0,0.6153846153846154
serve_side|VOLLEY|dir=3,0.18181818181818182,0.5454545454545454,0.2727272727272727
