,win,loss,continue
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.1111111111111111,0.8888888888888888
return_side|FH|dir=2,0.1,0.2,0.7
return_side|FH|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|SERVE|dir=4,0.0,0.3181818181818182,0.6818181818181818
return_side|SERVE|dir=5,0.05,0.2,0.75
return_side|SERVE|dir=6,0.0,0.18181818181818182,0.8181818181818182
return_side|SLICE|dir=3,0.0,0.2857142857142857,0.7142857142857143
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|SMASH|dir=3,0.0,1.0,0.0
return_side|VOLLEY|dir=2,0.5,0.0,0.5
return_side|VOLLEY|dir=3,0.0,0.5,0.5
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.047619047619047616,0.19047619047619047,0.7619047619047619
serve_side|BH|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BOS|dir=0,0.01694915254237288,0.0,0.9830508474576272
serve_side|DROP_SHOT|dir=3,0.0,0.5,0.5
serve_side|FH|dir=1,0.0,0.2,0.8
serve_side|FH|dir=2,0.0,0.0,1.0
serve_side|FH|dir=3,0.0,0.0,1.0
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.3333333333333333,0.6666666666666666
serve_side|SLICE|dir=2,0.0,0.1111111111111111,0.8888888888888888
serve_side|SLICE|dir=3,0.0,0.2,0.8
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
