,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.09090909090909091,0.09090909090909091,0.8181818181818182
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.1,0.9
return_side|FH|dir=2,0.0,0.06666666666666667,0.9333333333333333
return_side|FH|dir=3,0.05555555555555555,0.027777777777777776,0.9166666666666666
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|SERVE|dir=4,0.0,0.13043478260869565,0.8695652173913043
return_side|SERVE|dir=5,0.0,0.2,0.8
return_side|SERVE|dir=6,0.0,0.08333333333333333,0.9166666666666666
return_side|SLICE|dir=2,1.0,0.0,0.0
return_side|SLICE|dir=3,0.5,0.5,0.0
return_side|VOLLEY|dir=1,0.0,0.5,0.5
serve_side|BH|dir=1,0.0,0.25,0.75
serve_side|BH|dir=2,0.05263157894736842,0.05263157894736842,0.8947368421052632
serve_side|BH|dir=3,0.16666666666666666,0.08333333333333333,0.75
serve_side|BOS|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=1,0.0,0.4,0.6
serve_side|FH|dir=1,0.0,0.16666666666666666,0.8333333333333334
serve_side|FH|dir=2,0.0,0.029411764705882353,0.9705882352941176
serve_side|FH|dir=3,0.03125,0.0625,0.90625
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.5,0.0,0.5
serve_side|LOB|dir=3,0.5,0.0,0.5
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|OTHER|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.5,0.5,0.0
serve_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|SMASH|dir=2,0.0,1.0,0.0
