,win,loss,continue
return_side|BH|dir=1,0.09090909090909091,0.22727272727272727,0.6818181818181818
return_side|BH|dir=2,0.0,0.11290322580645161,0.8870967741935484
return_side|BH|dir=3,0.0125,0.1,0.8875
return_side|DROP_SHOT|dir=1,0.0,0.5,0.5
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.01818181818181818,0.15454545454545454,0.8272727272727273
return_side|FH|dir=2,0.015384615384615385,0.06153846153846154,0.9230769230769231
return_side|FH|dir=3,0.07377049180327869,0.18032786885245902,0.7459016393442623
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.007352941176470588,0.2426470588235294,0.75
return_side|SERVE|dir=5,0.010526315789473684,0.18947368421052632,0.8
return_side|SERVE|dir=6,0.02608695652173913,0.20869565217391303,0.7652173913043478
return_side|SLICE|dir=1,0.16666666666666666,0.3333333333333333,0.5
return_side|SLICE|dir=2,0.15384615384615385,0.23076923076923078,0.6153846153846154
return_side|SLICE|dir=3,0.1111111111111111,0.16666666666666666,0.7222222222222222
return_side|SMASH|dir=2,0.0,1.0,0.0
return_side|SMASH|dir=3,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.3333333333333333,0.0,0.6666666666666666
return_side|VOLLEY|dir=2,0.3333333333333333,0.0,0.6666666666666666
return_side|VOLLEY|dir=3,0.0,0.5,0.5
serve_side|BH|dir=1,0.07142857142857142,0.14285714285714285,0.7857142857142857
serve_side|BH|dir=2,0.04878048780487805,0.12804878048780488,0.823170731707317
serve_side|BH|dir=3,0.04371584699453552,0.14207650273224043,0.8142076502732241
serve_side|BOS|dir=0,0.08685968819599109,0.0,0.9131403118040089
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,1.0,0.0,0.0
serve_side|FH|dir=1,0.046153846153846156,0.17692307692307693,0.7769230769230769
serve_side|FH|dir=2,0.07086614173228346,0.16535433070866143,0.7637795275590551
serve_side|FH|dir=3,0.04310344827586207,0.09482758620689655,0.8620689655172413
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.6,0.2,0.2
serve_side|LOB|dir=3,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.012048192771084338,0.0,0.9879518072289156
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.21428571428571427,0.07142857142857142,0.7142857142857143
serve_side|SLICE|dir=2,0.25,0.022727272727272728,0.7272727272727273
serve_side|SLICE|dir=3,0.061224489795918366,0.10204081632653061,0.8367346938775511
serve_side|SMASH|dir=1,1.0,0.0,0.0
serve_side|SMASH|dir=2,0.0,1.0,0.0
serve_side|SMASH|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.6666666666666666,0.0,0.3333333333333333
