,win,loss,continue
return_side|BH|dir=0,0.0,0.0,1.0
return_side|BH|dir=1,0.02962962962962963,0.16296296296296298,0.8074074074074075
return_side|BH|dir=2,0.015789473684210527,0.1,0.8842105263157894
return_side|BH|dir=3,0.026143790849673203,0.1437908496732026,0.8300653594771242
return_side|DROP_SHOT|dir=1,0.058823529411764705,0.5294117647058824,0.4117647058823529
return_side|DROP_SHOT|dir=2,0.5,0.5,0.0
return_side|DROP_SHOT|dir=3,0.06666666666666667,0.26666666666666666,0.6666666666666666
return_side|FH|dir=0,0.0,0.0,1.0
return_side|FH|dir=1,0.016913319238900635,0.1649048625792812,0.8181818181818182
return_side|FH|dir=2,0.0392156862745098,0.11274509803921569,0.8480392156862745
return_side|FH|dir=3,0.023483365949119372,0.13307240704500978,0.8434442270058709
return_side|LOB|dir=1,0.5,0.0,0.5
return_side|LOB|dir=2,0.6666666666666666,0.0,0.3333333333333333
return_side|LOB|dir=3,0.75,0.0,0.25
return_side|OTHER|dir=0,0.0,1.0,0.0
return_side|OTHER|dir=1,0.0,0.0,1.0
return_side|OTHER|dir=2,0.0,1.0,0.0
return_side|SERVE|dir=0,0.0,1.0,0.0
return_side|SERVE|dir=4,0.0018656716417910447,0.1455223880597015,0.8526119402985075
return_side|SERVE|dir=5,0.004166666666666667,0.09166666666666666,0.9041666666666667
return_side|SERVE|dir=6,0.002369668246445498,0.15165876777251186,0.8459715639810427
return_side|SLICE|dir=1,0.08333333333333333,0.16666666666666666,0.75
return_side|SLICE|dir=2,0.14285714285714285,0.047619047619047616,0.8095238095238095
return_side|SLICE|dir=3,0.16901408450704225,0.22535211267605634,0.6056338028169014
return_side|SMASH|dir=1,0.0,0.5,0.5
return_side|SMASH|dir=2,0.0,0.42857142857142855,0.5714285714285714
return_side|SMASH|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.24,0.4,0.36
return_side|VOLLEY|dir=2,0.45454545454545453,0.09090909090909091,0.45454545454545453
return_side|VOLLEY|dir=3,0.16,0.24,0.6
serve_side|BH|dir=1,0.08426966292134831,0.16292134831460675,0.7528089887640449
serve_side|BH|dir=2,0.037122969837587005,0.08352668213457076,0.8793503480278422
serve_side|BH|dir=3,0.04328358208955224,0.10895522388059702,0.8477611940298507
serve_side|BOS|dir=0,0.1105379513633014,0.0014738393515106854,0.887988209285188
serve_side|DROP_SHOT|dir=1,0.13333333333333333,0.26666666666666666,0.6
serve_side|DROP_SHOT|dir=3,0.16666666666666666,0.16666666666666666,0.6666666666666666
serve_side|FH|dir=1,0.01832460732984293,0.12303664921465969,0.8586387434554974
serve_side|FH|dir=2,0.04896907216494845,0.08505154639175258,0.865979381443299
serve_side|FH|dir=3,0.02102803738317757,0.12149532710280374,0.8574766355140186
serve_side|LOB|dir=1,0.8,0.0,0.2
serve_side|LOB|dir=2,0.7058823529411765,0.058823529411764705,0.23529411764705882
serve_side|LOB|dir=3,0.27586206896551724,0.13793103448275862,0.5862068965517241
serve_side|OTHER|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.012448132780082987,0.0,0.9875518672199171
serve_side|SERVE|dir=5,0.034482758620689655,0.0,0.9655172413793104
serve_side|SERVE|dir=6,0.004405286343612335,0.0,0.9955947136563876
serve_side|SLICE|dir=1,0.2222222222222222,0.08888888888888889,0.6888888888888889
serve_side|SLICE|dir=2,0.1574074074074074,0.08333333333333333,0.7592592592592593
serve_side|SLICE|dir=3,0.13274336283185842,0.1592920353982301,0.7079646017699115
serve_side|SMASH|dir=2,0.0,0.5,0.5
serve_side|SMASH|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|VOLLEY|dir=1,0.16666666666666666,0.4166666666666667,0.4166666666666667
serve_side|VOLLEY|dir=2,0.5,0.5,0.0
serve_side|VOLLEY|dir=3,0.08333333333333333,0.16666666666666666,0.75
