,win,loss,continue
return_side|BH|dir=1,0.0,0.25,0.75
return_side|BH|dir=2,0.14285714285714285,0.14285714285714285,0.7142857142857143
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.35714285714285715,0.6428571428571429
return_side|FH|dir=2,0.4,0.0,0.6
return_side|FH|dir=3,0.03333333333333333,0.3,0.6666666666666666
return_side|SERVE|dir=4,0.0,0.43333333333333335,0.5666666666666667
return_side|SERVE|dir=5,0.0,0.17647058823529413,0.8235294117647058
return_side|SERVE|dir=6,0.0,0.21875,0.78125
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,1.0,0.0,0.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.2,0.8
serve_side|BH|dir=2,0.125,0.3125,0.5625
serve_side|BH|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BOS|dir=0,0.06451612903225806,0.0,0.9354838709677419
serve_side|DROP_SHOT|dir=2,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.0,1.0
serve_side|FH|dir=2,0.16666666666666666,0.2222222222222222,0.6111111111111112
serve_side|FH|dir=3,0.0,0.23076923076923078,0.7692307692307693
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.4,0.0,0.6
serve_side|OTHER|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.25,0.0,0.75
serve_side|SERVE|dir=6,0.14285714285714285,0.0,0.8571428571428571
serve_side|SLICE|dir=1,0.5,0.0,0.5
serve_side|SLICE|dir=2,0.5,0.0,0.5
serve_side|SLICE|dir=3,0.5,0.5,0.0
serve_side|VOLLEY|dir=1,1.0,0.0,0.0
serve_side|VOLLEY|dir=2,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
