,win,loss,continue
return_side|BH|dir=2,0.0,0.25,0.75
return_side|BH|dir=3,0.125,0.25,0.625
return_side|DROP_SHOT|dir=1,0.0,1.0,0.0
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.13043478260869565,0.8695652173913043
return_side|FH|dir=2,0.0,0.2857142857142857,0.7142857142857143
return_side|FH|dir=3,0.0,0.08571428571428572,0.9142857142857143
return_side|SERVE|dir=4,0.0,0.25,0.75
return_side|SERVE|dir=5,0.0,0.23076923076923078,0.7692307692307693
return_side|SERVE|dir=6,0.03125,0.28125,0.6875
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.0,1.0,0.0
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=2,0.0,0.0,1.0
serve_side|BH|dir=1,0.125,0.25,0.625
serve_side|BH|dir=2,0.041666666666666664,0.16666666666666666,0.7916666666666666
serve_side|BH|dir=3,0.10810810810810811,0.10810810810810811,0.7837837837837838
serve_side|BOS|dir=0,0.05217391304347826,0.0,0.9478260869565217
serve_side|FH|dir=1,0.0,0.2727272727272727,0.7272727272727273
serve_side|FH|dir=2,0.07317073170731707,0.024390243902439025,0.9024390243902439
serve_side|FH|dir=3,0.03571428571428571,0.14285714285714285,0.8214285714285714
serve_side|LOB|dir=1,1.0,0.0,0.0
serve_side|LOB|dir=2,0.6666666666666666,0.0,0.3333333333333333
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|SLICE|dir=2,0.125,0.0,0.875
serve_side|SLICE|dir=3,0.375,0.0,0.625
serve_side|SMASH|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
