,win,loss,continue
return_side|BH|dir=1,0.09090909090909091,0.2727272727272727,0.6363636363636364
return_side|BH|dir=2,0.047619047619047616,0.09523809523809523,0.8571428571428571
return_side|BH|dir=3,0.04,0.3,0.66
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.05,0.475,0.475
return_side|FH|dir=2,0.07407407407407407,0.1111111111111111,0.8148148148148148
return_side|FH|dir=3,0.0,0.15625,0.84375
return_side|LOB|dir=1,0.0,0.0,1.0
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.02197802197802198,0.4065934065934066,0.5714285714285714
return_side|SERVE|dir=5,0.03125,0.25,0.71875
return_side|SERVE|dir=6,0.011363636363636364,0.3522727272727273,0.6363636363636364
return_side|SLICE|dir=1,0.5,0.16666666666666666,0.3333333333333333
return_side|SLICE|dir=2,0.45454545454545453,0.18181818181818182,0.36363636363636365
return_side|SLICE|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|VOLLEY|dir=1,0.16666666666666666,0.3333333333333333,0.5
return_side|VOLLEY|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.5,0.5,0.0
serve_side|BH|dir=1,0.15384615384615385,0.15384615384615385,0.6923076923076923
serve_side|BH|dir=2,0.07692307692307693,0.27692307692307694,0.6461538461538462
serve_side|BH|dir=3,0.1,0.14285714285714285,0.7571428571428571
serve_side|BOS|dir=0,0.14232209737827714,0.0,0.8576779026217228
serve_side|FH|dir=1,0.05454545454545454,0.2909090909090909,0.6545454545454545
serve_side|FH|dir=2,0.11864406779661017,0.1864406779661017,0.6949152542372882
serve_side|FH|dir=3,0.0,0.21739130434782608,0.782608695652174
serve_side|LOB|dir=1,1.0,0.0,0.0
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.041666666666666664,0.0,0.9583333333333334
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.42857142857142855,0.14285714285714285,0.42857142857142855
serve_side|SLICE|dir=2,0.4,0.3,0.3
serve_side|SLICE|dir=3,0.45454545454545453,0.2727272727272727,0.2727272727272727
serve_side|VOLLEY|dir=1,1.0,0.0,0.0
serve_side|VOLLEY|dir=2,0.0,1.0,0.0
