,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.2857142857142857,0.7142857142857143
return_side|BH|dir=3,0.0,0.2,0.8
return_side|FH|dir=1,0.03571428571428571,0.39285714285714285,0.5714285714285714
return_side|FH|dir=2,0.0,0.42857142857142855,0.5714285714285714
return_side|FH|dir=3,0.0,0.17391304347826086,0.8260869565217391
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|OTHER|dir=2,1.0,0.0,0.0
return_side|SERVE|dir=4,0.02631578947368421,0.23684210526315788,0.7368421052631579
return_side|SERVE|dir=5,0.0,0.16666666666666666,0.8333333333333334
return_side|SERVE|dir=6,0.058823529411764705,0.2647058823529412,0.6764705882352942
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.14285714285714285,0.8571428571428571
return_side|VOLLEY|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=2,1.0,0.0,0.0
return_side|VOLLEY|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BH|dir=1,0.06666666666666667,0.13333333333333333,0.8
serve_side|BH|dir=2,0.043478260869565216,0.11594202898550725,0.8405797101449275
serve_side|BH|dir=3,0.0,0.26666666666666666,0.7333333333333333
serve_side|BOS|dir=0,0.045454545454545456,0.0,0.9545454545454546
serve_side|DROP_SHOT|dir=1,0.0,1.0,0.0
serve_side|FH|dir=1,0.046511627906976744,0.16279069767441862,0.7906976744186046
serve_side|FH|dir=2,0.05970149253731343,0.208955223880597,0.7313432835820896
serve_side|FH|dir=3,0.075,0.225,0.7
serve_side|LOB|dir=1,0.5,0.0,0.5
serve_side|LOB|dir=2,0.6666666666666666,0.0,0.3333333333333333
serve_side|LOB|dir=3,0.5,0.0,0.5
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,1.0,0.0,0.0
serve_side|SLICE|dir=2,0.2,0.1,0.7
serve_side|SLICE|dir=3,0.0,0.47058823529411764,0.5294117647058824
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
