,win,loss,continue
return_side|BH|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|BH|dir=2,0.0,0.1,0.9
return_side|BH|dir=3,0.05,0.2,0.75
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|FH|dir=1,0.05263157894736842,0.3157894736842105,0.631578947368421
return_side|FH|dir=2,0.14285714285714285,0.14285714285714285,0.7142857142857143
return_side|FH|dir=3,0.0,0.16666666666666666,0.8333333333333334
return_side|SERVE|dir=4,0.0,0.1875,0.8125
return_side|SERVE|dir=5,0.0,0.14285714285714285,0.8571428571428571
return_side|SERVE|dir=6,0.0,0.3333333333333333,0.6666666666666666
return_side|SLICE|dir=1,1.0,0.0,0.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.2222222222222222,0.7777777777777778
serve_side|BH|dir=2,0.02127659574468085,0.1276595744680851,0.851063829787234
serve_side|BH|dir=3,0.0,0.25,0.75
serve_side|BOS|dir=0,0.045871559633027525,0.0,0.9541284403669725
serve_side|DROP_SHOT|dir=1,0.0,0.5,0.5
serve_side|FH|dir=1,0.04,0.16,0.8
serve_side|FH|dir=2,0.034482758620689655,0.10344827586206896,0.8620689655172413
serve_side|FH|dir=3,0.0,0.0,1.0
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.16666666666666666,0.16666666666666666,0.6666666666666666
serve_side|SLICE|dir=2,0.18181818181818182,0.09090909090909091,0.7272727272727273
serve_side|SLICE|dir=3,0.0,0.25,0.75
serve_side|SMASH|dir=3,0.0,1.0,0.0
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
