,return_side|BH|dir=0,return_side|BH|dir=1,return_side|BH|dir=2,return_side|BH|dir=3,return_side|DROP_SHOT|dir=0,return_side|DROP_SHOT|dir=1,return_side|DROP_SHOT|dir=2,return_side|DROP_SHOT|dir=3,return_side|FH|dir=0,return_side|FH|dir=1,return_side|FH|dir=2,return_side|FH|dir=3,return_side|LOB|dir=0,return_side|LOB|dir=1,return_side|LOB|dir=2,return_side|LOB|dir=3,return_side|OTHER|dir=0,return_side|OTHER|dir=1,return_side|OTHER|dir=2,return_side|OTHER|dir=3,return_side|SERVE|dir=0,return_side|SERVE|dir=4,return_side|SERVE|dir=5,return_side|SERVE|dir=6,return_side|SLICE|dir=0,return_side|SLICE|dir=1,return_side|SLICE|dir=2,return_side|SLICE|dir=3,return_side|SMASH|dir=0,return_side|SMASH|dir=1,return_side|SMASH|dir=2,return_side|SMASH|dir=3,return_side|VOLLEY|dir=0,return_side|VOLLEY|dir=1,return_side|VOLLEY|dir=2,return_side|VOLLEY|dir=3,serve_side|BH|dir=0,serve_side|BH|dir=1,serve_side|BH|dir=2,serve_side|BH|dir=3,serve_side|DROP_SHOT|dir=0,serve_side|DROP_SHOT|dir=1,serve_side|DROP_SHOT|dir=2,serve_side|DROP_SHOT|dir=3,serve_side|FH|dir=0,serve_side|FH|dir=1,serve_side|FH|dir=2,serve_side|FH|dir=3,serve_side|LOB|dir=0,serve_side|LOB|dir=1,serve_side|LOB|dir=2,serve_side|LOB|dir=3,serve_side|OTHER|dir=0,serve_side|OTHER|dir=1,serve_side|OTHER|dir=2,serve_side|OTHER|dir=3,serve_side|SERVE|dir=0,serve_side|SERVE|dir=4,serve_side|SERVE|dir=5,serve_side|SERVE|dir=6,serve_side|SLICE|dir=0,serve_side|SLICE|dir=1,serve_side|SLICE|dir=2,serve_side|SLICE|dir=3,serve_side|SMASH|dir=0,serve_side|SMASH|dir=1,serve_side|SMASH|dir=2,serve_side|SMASH|dir=3,serve_side|VOLLEY|dir=0,serve_side|VOLLEY|dir=1,serve_side|VOLLEY|dir=2,serve_side|VOLLEY|dir=3
return_side|BH|dir=0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4758933635847986,0.0005672149744753262,0.0017016449234259785,0.0022688598979013048,0.01020986954055587,0.0,0.0,0.0,0.3357912648893931,0.0045377197958026095,0.0022688598979013048,0.0028360748723766306,0.00737379466817924,0.0,0.0,0.0,0.0011344299489506524,0.0,0.0,0.0005672149744753262,0.0,0.0,0.0,0.0,0.14237095859330687,0.0,0.0011344299489506524,0.0017016449234259785,0.0,0.0,0.0,0.0,0.007941009642654566,0.0011344299489506524,0.0,0.0005672149744753262
return_side|BH|dir=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.919537499010058e-05,0.03290567830838679,0.021263958184842006,0.011839708561020037,0.0,0.0017027005622871625,0.0003167814999604023,0.0020194820622475647,7.919537499010058e-05,0.37415854914073016,0.1967609091629049,0.14334362873208203,0.0,0.002851033499643621,0.009147065811356617,0.0055832739368020905,3.959768749505029e-05,3.959768749505029e-05,3.959768749505029e-05,0.0,0.0,0.0,0.0,0.0,7.919537499010058e-05,0.05278371743090204,0.09329215173833848,0.0342519996832185,0.0,0.00023758612497030174,3.959768749505029e-05,3.959768749505029e-05,0.0,0.007642353686544706,0.004355745624455532,0.005108101686861487
return_side|BH|dir=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4168246573858405e-05,0.05312099380676381,0.13617897188668002,0.12570644421573407,1.8056082191286134e-05,0.005832114547785421,0.0013903183287290325,0.007493274109383746,0.00010833649314771681,0.23200260007583554,0.14110828232490114,0.19941137172056408,0.0,5.4168246573858405e-05,0.0005236263835472979,0.0001625047397215752,0.0,1.8056082191286134e-05,0.00012639257533900294,1.8056082191286134e-05,0.0,0.0,0.0,0.0,3.611216438257227e-05,0.013975407616055468,0.0360760522181897,0.03107451745120344,0.0,9.028041095643068e-05,9.028041095643068e-05,0.00012639257533900294,1.8056082191286134e-05,0.007023815972410306,0.004080674575230666,0.004080674575230666
return_side|BH|dir=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010876395804128197,0.08128293130951805,0.1962464349591531,0.3639483733745831,1.2084884226809107e-05,0.006803789819693528,0.0009788756223715377,0.005305264175569198,2.4169768453618215e-05,0.03492531541547832,0.023783052158360324,0.08131918596219848,1.2084884226809107e-05,0.001015130275051965,0.0037825687629912505,0.0016797989075264658,1.2084884226809107e-05,1.2084884226809107e-05,3.625465268042732e-05,3.625465268042732e-05,0.0,0.0,0.0,0.0,4.833953690723643e-05,0.02232078116691642,0.05892589548992121,0.1092110987576739,0.0,2.4169768453618215e-05,3.625465268042732e-05,1.2084884226809107e-05,0.0,0.003613380383815923,0.0022961280030937303,0.0021873640450524486
return_side|DROP_SHOT|dir=0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.21212121212121213,0.0,0.06060606060606061,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,0.0,0.0,0.0
return_side|DROP_SHOT|dir=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01147605856747131,0.002770083102493075,0.01187178472497032,0.0,0.038781163434903045,0.006331618519984171,0.0518401266323704,0.0,0.12465373961218837,0.030470914127423823,0.16066481994459833,0.0,0.003957261574990107,0.009497427779976256,0.006331618519984171,0.0,0.0,0.0003957261574990107,0.0,0.0,0.0,0.0,0.0,0.0,0.09774436090225563,0.0593589236248516,0.24337158686189156,0.0,0.0,0.0,0.0,0.0,0.03442817570241393,0.016224772457459437,0.08982983775227543
return_side|DROP_SHOT|dir=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05649717514124294,0.011299435028248588,0.060263653483992465,0.0,0.02071563088512241,0.018832391713747645,0.02071563088512241,0.0,0.07909604519774012,0.01694915254237288,0.05084745762711865,0.0,0.003766478342749529,0.013182674199623353,0.0018832391713747645,0.0,0.0,0.0,0.0018832391713747645,0.0,0.0,0.0,0.0,0.0,0.18832391713747645,0.1111111111111111,0.22598870056497175,0.0,0.0,0.0,0.0,0.0,0.03766478342749529,0.026365348399246705,0.054613935969868174
return_side|DROP_SHOT|dir=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09880239520958084,0.01309880239520958,0.08794910179640719,0.0,0.04565868263473054,0.0007485029940119761,0.04303892215568862,0.0,0.010853293413173653,0.0,0.010479041916167664,0.0,0.0014970059880239522,0.012724550898203593,0.014595808383233533,0.0,0.00037425149700598805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29229041916167664,0.05651197604790419,0.19461077844311378,0.0,0.0,0.0,0.0,0.0,0.05763473053892216,0.01347305389221557,0.04565868263473054
return_side|FH|dir=0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630218687872763,0.0007952286282306163,0.0011928429423459245,0.0019880715705765406,0.0031809145129224653,0.0,0.0,0.0,0.48190854870775346,0.0011928429423459245,0.0,0.0007952286282306163,0.022664015904572565,0.0,0.0,0.0007952286282306163,0.0007952286282306163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11491053677932406,0.00039761431411530816,0.0015904572564612327,0.00039761431411530816,0.0,0.0,0.0,0.0,0.00437375745526839,0.0,0.0,0.0
return_side|FH|dir=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1490422732652335e-05,0.03826310769973227,0.03358650564754277,0.014156200806627675,0.0,0.0021716898964712914,0.0007353870548897494,0.0028036631467671697,0.00014937549552448035,0.33909386526330304,0.24723942593848028,0.16578381918670787,4.596169093060934e-05,0.004906410506842547,0.013604660515460363,0.005423479529811902,1.1490422732652335e-05,0.00010341380459387101,0.00032173183651426537,8.043295912856634e-05,0.0,0.0,0.0,0.0,1.1490422732652335e-05,0.02963380022751037,0.07070057107400982,0.027209321030920726,0.0,6.8942536395914e-05,5.745211366326167e-05,2.298084546530467e-05,0.0,0.0006319732502958784,0.0012869273460570615,0.0018844293281549828
